group,n_samples,f1_macro,f1_weighted,accuracy
Teacher,949,0.7584,0.7586,0.7587
Architect,950,0.7589,0.7766,0.7758
_______,1084,0.7623,0.7713,0.7703
Lawyer,957,0.7626,0.7761,0.7753
Writer,852,0.7673,0.7931,0.7923
Manager,934,0.7719,0.7786,0.7784
Doctor,964,0.7818,0.7976,0.7967
Journalist,922,0.7877,0.795,0.7939
Entrepreneur,860,0.7885,0.8027,0.8023
Developer,868,0.7962,0.8115,0.8111
Musician,895,0.7968,0.803,0.8022
Mechanic,967,0.802,0.809,0.8087
Engineer,993,0.8078,0.8105,0.8107
Scientist,921,0.8125,0.8178,0.8176
Accountant,974,0.8145,0.8215,0.8214
Media_Manager,911,0.8225,0.826,0.8255
